epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2525.26,0.86328,0.48203,0.94026,0.93873,0.88365,0.93051,0.61132,1.0815,0.51034,1.01322,8.02e-05,8.02e-05,8.02e-05
102,2550.05,0.85241,0.48195,0.94543,0.94184,0.88649,0.93397,0.61929,1.07093,0.49947,1.00715,8.0002e-05,8.0002e-05,8.0002e-05
103,2574.92,0.8463,0.47717,0.94014,0.94155,0.87695,0.92975,0.61532,1.06845,0.51354,1.00434,7.9804e-05,7.9804e-05,7.9804e-05
104,2599.78,0.84803,0.47808,0.9428,0.93848,0.88815,0.93166,0.61675,1.0644,0.49957,1.00421,7.9606e-05,7.9606e-05,7.9606e-05
105,2624.59,0.83556,0.46885,0.93628,0.94864,0.88333,0.93138,0.61515,1.07435,0.50888,1.00639,7.9408e-05,7.9408e-05,7.9408e-05
106,2649.4,0.84683,0.46968,0.93963,0.94562,0.87413,0.92763,0.60776,1.08429,0.50978,1.00987,7.921e-05,7.921e-05,7.921e-05
107,2674.2,0.85219,0.47779,0.93861,0.94284,0.89389,0.93416,0.61661,1.07367,0.49778,1.00438,7.9012e-05,7.9012e-05,7.9012e-05
108,2698.99,0.83692,0.47355,0.94109,0.94128,0.89615,0.93408,0.61796,1.0588,0.496,0.99942,7.8814e-05,7.8814e-05,7.8814e-05
109,2723.8,0.8498,0.47681,0.93917,0.94693,0.88803,0.93189,0.61844,1.06223,0.49729,1.00314,7.8616e-05,7.8616e-05,7.8616e-05
110,2748.65,0.83118,0.46945,0.93506,0.95275,0.88536,0.93255,0.6179,1.05875,0.5012,0.99966,7.8418e-05,7.8418e-05,7.8418e-05
111,2773.42,0.83102,0.46244,0.93132,0.94608,0.88179,0.93289,0.61311,1.0739,0.51061,1.00577,7.822e-05,7.822e-05,7.822e-05
112,2798.38,0.82884,0.46579,0.93263,0.95073,0.88331,0.93366,0.61719,1.05568,0.50181,1.0007,7.8022e-05,7.8022e-05,7.8022e-05
113,2823.26,0.8254,0.46647,0.93445,0.94924,0.8945,0.93813,0.62279,1.06106,0.49623,1.00354,7.7824e-05,7.7824e-05,7.7824e-05
114,2848.16,0.81925,0.46201,0.93421,0.93968,0.89138,0.93316,0.61965,1.05319,0.49722,1.0063,7.7626e-05,7.7626e-05,7.7626e-05
115,2873.01,0.82052,0.4633,0.93061,0.94698,0.88833,0.93518,0.62097,1.0468,0.4966,1.00232,7.7428e-05,7.7428e-05,7.7428e-05
116,2897.9,0.82069,0.46273,0.92943,0.94952,0.89015,0.9376,0.61843,1.05432,0.50125,1.00519,7.723e-05,7.723e-05,7.723e-05
117,2922.83,0.81742,0.45947,0.93295,0.95309,0.8876,0.938,0.62478,1.03678,0.49088,1.00282,7.7032e-05,7.7032e-05,7.7032e-05
118,2947.76,0.81706,0.46264,0.93186,0.94682,0.88875,0.93433,0.62461,1.04151,0.49463,1.00545,7.6834e-05,7.6834e-05,7.6834e-05
119,2972.63,0.82666,0.46376,0.93574,0.94367,0.88711,0.93261,0.62379,1.05144,0.4974,1.00735,7.6636e-05,7.6636e-05,7.6636e-05
120,2997.47,0.81624,0.46195,0.93214,0.93121,0.89035,0.93212,0.6268,1.04013,0.49279,1.0017,7.6438e-05,7.6438e-05,7.6438e-05
