epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2458.02,1.03663,0.68091,0.92458,0.91786,0.86343,0.89794,0.62048,0.97956,0.59255,0.87285,0.0008318,0.0008318,0.0008318
61,2499.33,1.06377,0.62005,0.87565,0.92713,0.86752,0.89668,0.61283,0.97909,0.60121,0.86858,0.000812,0.000812,0.000812
62,2540.6,1.0635,0.65527,0.9105,0.91862,0.87223,0.89825,0.61865,1.00668,0.59231,0.87024,0.0007922,0.0007922,0.0007922
63,2581.94,1.12375,0.67411,0.9129,0.94273,0.88636,0.90473,0.61442,0.99172,0.58987,0.86558,0.0007724,0.0007724,0.0007724
64,2623.33,1.03208,0.60822,0.90833,0.94137,0.87585,0.9053,0.61772,0.98279,0.58968,0.8662,0.0007526,0.0007526,0.0007526
65,2664.64,0.99685,0.64201,0.90699,0.93688,0.89091,0.91213,0.63372,0.94843,0.57729,0.86644,0.0007328,0.0007328,0.0007328
66,2706.05,1.03859,0.62919,0.88778,0.94519,0.86222,0.91005,0.62659,0.93611,0.56888,0.85891,0.000713,0.000713,0.000713
67,2747.54,0.99806,0.61226,0.87425,0.94918,0.84899,0.90334,0.6393,0.89635,0.55817,0.85371,0.0006932,0.0006932,0.0006932
68,2789.05,1.11208,0.64036,0.90082,0.9453,0.89091,0.91044,0.63279,0.8951,0.55009,0.85195,0.0006734,0.0006734,0.0006734
69,2830.47,1.00459,0.58719,0.88151,0.92566,0.89091,0.91797,0.62696,0.91036,0.56145,0.8544,0.0006536,0.0006536,0.0006536
70,2871.76,0.97458,0.62885,0.8899,0.92335,0.87612,0.90567,0.62571,0.91258,0.58109,0.85601,0.0006338,0.0006338,0.0006338
71,2913.06,0.99038,0.61667,0.87142,0.93987,0.85,0.91199,0.642,0.89309,0.55941,0.85219,0.000614,0.000614,0.000614
72,2954.39,1.04763,0.61992,0.87449,0.95382,0.84494,0.91646,0.6471,0.92274,0.55463,0.86017,0.0005942,0.0005942,0.0005942
73,2995.64,0.94833,0.57095,0.86757,0.93384,0.85909,0.91262,0.64854,0.92433,0.54525,0.85692,0.0005744,0.0005744,0.0005744
74,3036.95,1.08612,0.61815,0.87955,0.91094,0.88636,0.91725,0.63548,0.93309,0.54867,0.85427,0.0005546,0.0005546,0.0005546
